Sample,Condition,Platform
AML_ERX12560679,AML,NextSeq550
AML_ERX12560692,AML,NextSeq550
AML_ERX12560719,AML,NextSeq550
AML_ERX12560730,AML,NextSeq550
AML_ERX12560741,AML,NextSeq550
AML_ERX12560749,AML,NextSeq550
AML_ERX12560757,AML,NextSeq550
AML_ERX12560763,AML,NextSeq550
AML_ERX12560804,AML,NextSeq550
AML_ERX12560816,AML,NextSeq550
AML_ERX12560850,AML,NextSeq550
AML_ERX12560868,AML,NextSeq550
AML_ERX12560885,AML,NextSeq550
AML_ERX12560917,AML,NextSeq550
AML_ERX12560925,AML,NextSeq550
HEALTHY_GSM3351619,Healthy,HiSeq1000
HEALTHY_GSM3351620,Healthy,HiSeq1000
HEALTHY_GSM3351621,Healthy,HiSeq1000
HEALTHY_GSM3351622,Healthy,HiSeq1000
HEALTHY_GSM3351623,Healthy,HiSeq1000
HEALTHY_GSM3351624,Healthy,HiSeq1000
HEALTHY_GSM3351625,Healthy,HiSeq1000
HEALTHY_GSM3351626,Healthy,HiSeq1000
HEALTHY_GSM3351627,Healthy,HiSeq1000
HEALTHY_GSM3351628,Healthy,HiSeq1000
HEALTHY_GSM3351629,Healthy,HiSeq1000
